"nomeempreendedor","niveldeemergencia"
"DOMUS AUREA MINERACAO LTDA","Sem emergência"
"VALE S.A.","Sem emergência"
"UNAMGEN MINERACAO E METALURGIA SA","Nível de Alerta"
"COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","Sem emergência"
"COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL","Sem emergência"
"J F Rost Martins","Sem emergência"
"NORMA ARGES OLIVA","Sem emergência"
"SIDNEI RAFAEL DE SOUZA","Sem emergência"
"PORTO DE AREIA BRANCA LTDA","Sem emergência"
"Fellipe Gabriel Firmino Bravo","Sem emergência"
"COMPANHIA RIOGRANDENSE DE MINERACAO CRM","Sem emergência"
"EXTRACAO DE MINERIO BEARIZ LTDA","Sem emergência"
"GF GOLD MINERACAO EIRELI","Sem emergência"
"Maxcimiliano Mendes Nascimento","Sem emergência"
"PEDREIRA SARGON LTDA","Sem emergência"
"NACIONAL DE GRAFITE LTDA","Sem emergência"
"YURI MACEDO OLIVEIRA","Sem emergência"
"PILAR DE GOIAS DESENVOLVIMENTO MINERAL LTDA","Sem emergência"
"Sandro de França","Sem emergência"
"FRANCISCO XAVIER DA SILVA","Sem emergência"
